Country Name,Country ISO3,Year,Indicator Name,Indicator Code,Value
#country+name,#country+code,#date+year,#indicator+name,#indicator+code,#indicator+value+num
Japan,JPN,2023,Control of Corruption: Estimate,CC.EST,1.395660639
Japan,JPN,2022,Control of Corruption: Estimate,CC.EST,1.539929628
Japan,JPN,2021,Control of Corruption: Estimate,CC.EST,1.535760522
Japan,JPN,2020,Control of Corruption: Estimate,CC.EST,1.463714361
Japan,JPN,2019,Control of Corruption: Estimate,CC.EST,1.430998325
Japan,JPN,2018,Control of Corruption: Estimate,CC.EST,1.388587594
Japan,JPN,2017,Control of Corruption: Estimate,CC.EST,1.48122704
Japan,JPN,2016,Control of Corruption: Estimate,CC.EST,1.482243896
Japan,JPN,2015,Control of Corruption: Estimate,CC.EST,1.52976644
Japan,JPN,2014,Control of Corruption: Estimate,CC.EST,1.690213561
Japan,JPN,2013,Control of Corruption: Estimate,CC.EST,1.648249269
Japan,JPN,2012,Control of Corruption: Estimate,CC.EST,1.618948698
Japan,JPN,2011,Control of Corruption: Estimate,CC.EST,1.55437541
Japan,JPN,2010,Control of Corruption: Estimate,CC.EST,1.553623199
Japan,JPN,2009,Control of Corruption: Estimate,CC.EST,1.369224548
Japan,JPN,2008,Control of Corruption: Estimate,CC.EST,1.32388854
Japan,JPN,2007,Control of Corruption: Estimate,CC.EST,1.230227828
Japan,JPN,2006,Control of Corruption: Estimate,CC.EST,1.320848703
Japan,JPN,2005,Control of Corruption: Estimate,CC.EST,1.210124135
Japan,JPN,2004,Control of Corruption: Estimate,CC.EST,1.200011015
Japan,JPN,2003,Control of Corruption: Estimate,CC.EST,1.169873714
Japan,JPN,2002,Control of Corruption: Estimate,CC.EST,0.936939836
Japan,JPN,2000,Control of Corruption: Estimate,CC.EST,1.229918957
Japan,JPN,1998,Control of Corruption: Estimate,CC.EST,1.065931201
Japan,JPN,1996,Control of Corruption: Estimate,CC.EST,1.192311883
Japan,JPN,2023,Control of Corruption: Number of Sources,CC.NO.SRC,9
Japan,JPN,2022,Control of Corruption: Number of Sources,CC.NO.SRC,10
Japan,JPN,2021,Control of Corruption: Number of Sources,CC.NO.SRC,10
Japan,JPN,2020,Control of Corruption: Number of Sources,CC.NO.SRC,10
Japan,JPN,2019,Control of Corruption: Number of Sources,CC.NO.SRC,11
Japan,JPN,2018,Control of Corruption: Number of Sources,CC.NO.SRC,11
Japan,JPN,2017,Control of Corruption: Number of Sources,CC.NO.SRC,11
Japan,JPN,2016,Control of Corruption: Number of Sources,CC.NO.SRC,11
Japan,JPN,2015,Control of Corruption: Number of Sources,CC.NO.SRC,11
Japan,JPN,2014,Control of Corruption: Number of Sources,CC.NO.SRC,11
Japan,JPN,2013,Control of Corruption: Number of Sources,CC.NO.SRC,11
Japan,JPN,2012,Control of Corruption: Number of Sources,CC.NO.SRC,11
Japan,JPN,2011,Control of Corruption: Number of Sources,CC.NO.SRC,11
Japan,JPN,2010,Control of Corruption: Number of Sources,CC.NO.SRC,11
Japan,JPN,2009,Control of Corruption: Number of Sources,CC.NO.SRC,11
Japan,JPN,2008,Control of Corruption: Number of Sources,CC.NO.SRC,11
Japan,JPN,2007,Control of Corruption: Number of Sources,CC.NO.SRC,11
Japan,JPN,2006,Control of Corruption: Number of Sources,CC.NO.SRC,10
Japan,JPN,2005,Control of Corruption: Number of Sources,CC.NO.SRC,8
Japan,JPN,2004,Control of Corruption: Number of Sources,CC.NO.SRC,8
Japan,JPN,2003,Control of Corruption: Number of Sources,CC.NO.SRC,7
Japan,JPN,2002,Control of Corruption: Number of Sources,CC.NO.SRC,7
Japan,JPN,2000,Control of Corruption: Number of Sources,CC.NO.SRC,7
Japan,JPN,1998,Control of Corruption: Number of Sources,CC.NO.SRC,7
Japan,JPN,1996,Control of Corruption: Number of Sources,CC.NO.SRC,7
Japan,JPN,2023,Control of Corruption: Percentile Rank,CC.PER.RNK,90.09433746
Japan,JPN,2022,Control of Corruption: Percentile Rank,CC.PER.RNK,90.56604004
Japan,JPN,2021,Control of Corruption: Percentile Rank,CC.PER.RNK,90.95237732
Japan,JPN,2020,Control of Corruption: Percentile Rank,CC.PER.RNK,90.47618866
Japan,JPN,2019,Control of Corruption: Percentile Rank,CC.PER.RNK,89.04762268
Japan,JPN,2018,Control of Corruption: Percentile Rank,CC.PER.RNK,89.04762268
Japan,JPN,2017,Control of Corruption: Percentile Rank,CC.PER.RNK,90
Japan,JPN,2016,Control of Corruption: Percentile Rank,CC.PER.RNK,90.47618866
Japan,JPN,2015,Control of Corruption: Percentile Rank,CC.PER.RNK,91.42857361
Japan,JPN,2014,Control of Corruption: Percentile Rank,CC.PER.RNK,92.30769348
Japan,JPN,2013,Control of Corruption: Percentile Rank,CC.PER.RNK,92.89099884
Japan,JPN,2012,Control of Corruption: Percentile Rank,CC.PER.RNK,91.94313049
Japan,JPN,2011,Control of Corruption: Percentile Rank,CC.PER.RNK,91.4691925
Japan,JPN,2010,Control of Corruption: Percentile Rank,CC.PER.RNK,91.42857361
Japan,JPN,2009,Control of Corruption: Percentile Rank,CC.PER.RNK,89.47368622
Japan,JPN,2008,Control of Corruption: Percentile Rank,CC.PER.RNK,88.83495331
Japan,JPN,2007,Control of Corruption: Percentile Rank,CC.PER.RNK,85.43688965
Japan,JPN,2006,Control of Corruption: Percentile Rank,CC.PER.RNK,89.26829529
Japan,JPN,2005,Control of Corruption: Percentile Rank,CC.PER.RNK,83.9024353
Japan,JPN,2004,Control of Corruption: Percentile Rank,CC.PER.RNK,85.7142868
Japan,JPN,2003,Control of Corruption: Percentile Rank,CC.PER.RNK,84.12698364
Japan,JPN,2002,Control of Corruption: Percentile Rank,CC.PER.RNK,81.48148346
Japan,JPN,2000,Control of Corruption: Percentile Rank,CC.PER.RNK,85.10638428
Japan,JPN,1998,Control of Corruption: Percentile Rank,CC.PER.RNK,82.35294342
Japan,JPN,1996,Control of Corruption: Percentile Rank,CC.PER.RNK,84.40859985
Japan,JPN,2023,"Control of Corruption: Percentile Rank, Lower Bound of 90% Confidence Interval",CC.PER.RNK.LOWER,82.54717255
Japan,JPN,2022,"Control of Corruption: Percentile Rank, Lower Bound of 90% Confidence Interval",CC.PER.RNK.LOWER,88.679245
Japan,JPN,2021,"Control of Corruption: Percentile Rank, Lower Bound of 90% Confidence Interval",CC.PER.RNK.LOWER,85.7142868
Japan,JPN,2020,"Control of Corruption: Percentile Rank, Lower Bound of 90% Confidence Interval",CC.PER.RNK.LOWER,85.23809814
Japan,JPN,2019,"Control of Corruption: Percentile Rank, Lower Bound of 90% Confidence Interval",CC.PER.RNK.LOWER,87.61904907
Japan,JPN,2018,"Control of Corruption: Percentile Rank, Lower Bound of 90% Confidence Interval",CC.PER.RNK.LOWER,83.33333588
Japan,JPN,2017,"Control of Corruption: Percentile Rank, Lower Bound of 90% Confidence Interval",CC.PER.RNK.LOWER,88.09523773
Japan,JPN,2016,"Control of Corruption: Percentile Rank, Lower Bound of 90% Confidence Interval",CC.PER.RNK.LOWER,89.04762268
Japan,JPN,2015,"Control of Corruption: Percentile Rank, Lower Bound of 90% Confidence Interval",CC.PER.RNK.LOWER,89.04762268
